modelo,accuracy,precision,recall,f1,roc_auc
LogisticRegression,0.8457424349049966,0.5374880256711869,0.8485101697111025,0.6579808795442739,0.9230698239232016
LinearSVC,0.8470091484869811,0.5403558663508105,0.8420650343308719,0.6581468926553672,0.9227094761916877
KNN,0.7990147783251231,0.458680858413069,0.8187103251716543,0.587683351003444,0.8801885515556455
DecisionTree,0.8349049964813512,0.5184865801330532,0.8170747506153646,0.6340894533555034,0.8278736066098189
